Start Time (s),End Time (s),Duration (s),Speaker
5110.0,5158.75,48.75,SPEAKER_00
5159.88,5170.46,10.58,SPEAKER_00
5171.1,5200.57,29.47,SPEAKER_00
5201.53,5243.72,42.19,SPEAKER_00
5244.65,5253.74,9.09,SPEAKER_00
5255.26,5257.89,2.63,SPEAKER_00
5258.96,5266.67,7.71,SPEAKER_00
5268.1,5284.54,16.44,SPEAKER_00
5284.54,5290.7,6.16,SPEAKER_01
5291.91,5292.55,0.64,SPEAKER_01
5293.23,5296.17,2.94,SPEAKER_00
5298.39,5305.02,6.63,SPEAKER_01
5305.02,5319.98,14.96,SPEAKER_00
5319.98,5363.92,43.94,SPEAKER_01
5343.36,5343.63,0.27,SPEAKER_00
5365.03,5371.29,6.26,SPEAKER_01
5371.61,5379.66,8.05,SPEAKER_00
5380.86,5417.92,37.06,SPEAKER_00
5418.83,5432.84,14.01,SPEAKER_00
5433.65,5437.88,4.23,SPEAKER_00
5438.54,5464.98,26.44,SPEAKER_00
5465.62,5470.75,5.13,SPEAKER_00
5471.85,5472.9,1.05,SPEAKER_00
5474.2,5479.28,5.08,SPEAKER_00
5479.95,5496.98,17.03,SPEAKER_00
5496.47,5498.18,1.71,SPEAKER_01
5498.18,5553.88,55.7,SPEAKER_00
5555.15,5558.22,3.07,SPEAKER_00
5559.31,5584.07,24.76,SPEAKER_00
5584.74,5595.85,11.11,SPEAKER_00
5597.23,5604.51,7.28,SPEAKER_00
5605.33,5657.41,52.08,SPEAKER_00
5658.1,5661.07,2.97,SPEAKER_00
5662.25,5671.7,9.45,SPEAKER_00
5672.29,5717.5,45.21,SPEAKER_00
5718.68,5723.25,4.57,SPEAKER_00
5723.25,5737.29,14.04,SPEAKER_01
5729.38,5729.58,0.2,SPEAKER_00
5737.95,5771.13,33.18,SPEAKER_00
5771.74,5788.02,16.28,SPEAKER_00
5788.95,5833.67,44.72,SPEAKER_00
5834.33,5845.8,11.47,SPEAKER_00
5846.7,5859.03,12.33,SPEAKER_00
5858.47,5863.81,5.34,SPEAKER_01
5865.81,5873.56,7.75,SPEAKER_01
5874.18,5904.98,30.8,SPEAKER_01
5904.98,5920.37,15.39,SPEAKER_00
5921.37,5936.37,15.0,SPEAKER_00
5937.72,5939.41,1.69,SPEAKER_00
5941.18,5952.57,11.39,SPEAKER_01
5952.54,5972.97,20.43,SPEAKER_00
5972.97,5999.72,26.75,SPEAKER_01
5985.85,5986.4,0.55,SPEAKER_00
6000.24,6026.23,25.99,SPEAKER_00
6027.21,6055.1,27.89,SPEAKER_00
6055.89,6109.51,53.62,SPEAKER_00
6110.25,6113.0,2.75,SPEAKER_00
6113.98,6124.47,10.49,SPEAKER_00
6124.47,6144.66,20.19,SPEAKER_01
6129.32,6130.43,1.11,SPEAKER_00
6131.61,6132.12,0.51,SPEAKER_00
6147.05,6184.53,37.48,SPEAKER_01
6184.53,6209.02,24.49,SPEAKER_00
6210.87,6228.19,17.32,SPEAKER_00
6228.19,6235.09,6.9,SPEAKER_01
6236.02,6244.83,8.81,SPEAKER_01
6245.55,6262.17,16.62,SPEAKER_00
6262.82,6291.47,28.65,SPEAKER_00
6292.36,6303.03,10.67,SPEAKER_00
6303.03,6325.2,22.17,SPEAKER_01
6318.37,6318.67,0.3,SPEAKER_00
6325.91,6380.59,54.68,SPEAKER_00
6381.9,6383.29,1.39,SPEAKER_00
